year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2012,2145.03085,2,1,1,4,1,1,3,5,4,1,3,2,2,0,1,2,1,0,0,2,4
2012,2402.98312,2,1,2,1,8,3,1,0,3,3,6,1,1,3,1,2,1,1,2,2,1
2012,4351.06237,1,2,2,2,7,4,3,5,4,1,4,1,2,0,1,2,1,1,2,2,1
2012,2386.42982,1,1,1,4,5,1,3,0,4,2,4,2,3,5,1,2,1,0,0,2,1
2012,3492.52323,1,1,2,1,6,4,5,2,4,1,1,1,1,2,1,2,1,0,0,2,1
2012,3492.52323,1,1,2,1,6,4,5,2,4,1,1,1,1,2,1,2,1,0,0,2,1
2012,3915.58758,2,1,2,1,3,1,7,1,2,1,4,1,1,1,1,2,1,0,0,2,1
2012,3259.52214,1,1,2,1,6,5,6,2,4,1,4,2,3,5,1,2,1,0,0,2,3
2012,2293.1251,1,1,2,1,4,1,3,0,1,2,3,1,2,0,1,2,1,0,0,1,4
2012,3142.48764,2,1,1,4,6,2,4,2,2,1,5,1,1,1,1,2,1,1,2,1,3
2012,1596.5804,2,1,2,1,8,2,6,1,4,3,2,1,2,0,1,2,1,1,1,2,1
2012,4136.83917,2,2,2,2,6,4,1,3,2,1,2,1,2,0,1,2,1,1,1,2,1
2012,2673.00654,2,1,2,1,8,5,88,1,1,2,3,2,2,0,1,2,1,0,0,2,5
2012,3477.5092,1,1,2,1,3,1,88,5,1,1,4,2,2,0,1,2,1,0,0,2,1
2012,2524.14049,1,1,1,4,2,1,6,5,1,1,5,2,2,0,1,2,1,0,0,2,1
2012,5010.54592,1,2,2,2,3,1,88,5,1,1,5,2,1,1,1,2,1,0,0,2,3
2012,1846.70844,1,1,2,1,6,4,3,3,2,1,4,1,1,1,1,2,1,1,2,2,3
2012,3119.83098,1,1,2,1,8,4,2,1,1,1,4,1,2,0,1,2,1,0,0,2,1
2012,4316.87877,1,2,2,2,4,1,1,0,3,3,4,2,1,1,1,2,1,1,1,2,1
2012,3351.52884,1,1,2,1,4,1,4,1,2,2,4,1,2,0,1,2,1,0,0,2,1
2012,4873.64513,1,2,2,2,1,1,3,3,3,1,4,1,2,0,1,2,1,0,0,2,2
2012,4873.64513,1,2,2,2,1,1,3,3,3,1,4,3,2,0,1,2,1,1,1,2,3
2012,3833.18655,2,1,2,1,6,4,5,0,4,2,3,1,2,0,1,2,1,0,0,2,1
2012,4097.18491,2,2,2,2,3,1,2,3,3,1,4,2,2,0,1,2,1,0,0,2,3
2012,3763.60505,2,2,2,2,7,4,88,3,3,1,1,1,2,0,1,2,1,1,1,1,1
2012,3654.95957,1,1,1,4,5,1,6,1,2,2,4,2,2,0,1,2,1,0,0,2,5
2012,2665.62844,1,1,2,1,7,4,88,0,3,2,4,1,1,1,1,2,1,1,2,2,3
2012,3918.03663,1,2,2,2,4,1,3,3,3,1,4,1,1,1,1,2,1,1,2,2,1
2012,3080.92639,1,1,1,4,6,2,7,0,3,2,4,2,3,5,1,2,1,0,0,2,3
2012,4054.59768,2,1,2,1,6,4,3,0,4,2,2,1,2,0,1,2,1,0,0,2,2
2012,3738.70239,1,2,1,4,2,1,3,5,4,1,4,1,1,1,1,2,1,0,0,2,3
2012,2941.65487,1,1,1,4,8,4,4,4,4,1,6,1,1,1,1,2,1,0,0,2,3
2012,3409.13633,1,2,2,2,7,1,88,2,1,2,4,2,1,2,1,2,1,1,1,2,3
2012,3409.13633,1,2,2,2,7,1,88,2,1,2,5,1,1,1,1,2,1,0,0,2,3
2012,2628.93768,1,2,2,2,7,5,1,2,3,1,4,2,1,1,1,2,1,0,0,2,3
2012,3367.95886,1,1,2,1,5,1,7,1,4,2,5,3,2,0,1,2,1,0,0,2,3
2012,3316.8483,1,3,1,4,1,1,5,1,4,2,4,2,1,4,1,2,1,0,0,2,4
2012,4162.57254,2,2,2,2,5,4,5,2,3,1,4,2,1,1,1,2,1,1,2,2,3
2012,2925.35797,1,1,1,4,6,2,6,5,4,1,4,2,1,1,1,2,1,0,0,2,4
2012,36287.3831,1,1,2,1,6,5,1,5,4,1,4,2,1,1,1,2,1,1,1,2,1
2012,3737.70848,1,3,2,3,5,1,5,1,4,1,4,1,3,5,1,2,1,0,0,2,3
2012,21147.0174,1,1,2,1,7,2,7,0,2,3,3,1,1,3,1,2,1,0,0,1,1
2012,3128.10166,1,2,2,2,6,2,88,4,2,1,4,1,1,1,1,2,1,1,1,,3
2012,2687.33692,2,1,2,1,5,5,2,1,1,2,1,1,2,0,1,2,1,1,2,2,1
2012,2926.85207,2,1,2,1,6,5,3,0,3,2,4,2,2,0,1,2,1,0,0,2,3
2012,3311.86309,1,2,2,2,7,1,88,3,3,1,4,2,1,1,1,2,1,0,0,2,3
2012,2688.90545,1,1,2,1,2,1,4,1,2,2,3,1,1,1,1,2,1,0,0,2,2
2012,4679.62127,1,1,2,1,2,1,7,1,1,2,3,1,2,0,1,2,1,1,2,,2
2012,2920.35572,1,1,2,1,7,1,7,5,1,1,4,1,1,1,1,2,1,0,0,2,1
2012,4488.08048,1,1,1,4,1,1,4,5,1,1,4,2,2,0,1,2,1,1,2,2,3
2012,3160.52195,1,2,2,2,7,1,88,5,1,1,4,2,1,2,1,2,1,0,0,2,3
2012,3077.90085,1,1,2,1,6,2,6,1,1,2,4,1,1,3,1,2,1,1,2,2,3
2012,2686.11715,2,2,2,2,7,1,88,3,2,1,4,1,1,1,1,2,1,0,0,2,1
2012,3521.68714,1,1,2,1,6,1,88,1,2,1,5,2,1,1,1,2,1,0,0,2,1
2012,4722.98137,1,2,2,2,2,1,5,4,3,1,4,2,1,4,1,2,1,0,0,2,3
2012,2984.36204,2,1,2,1,6,2,88,3,3,1,3,2,2,0,1,2,1,1,2,2,5
2012,2984.36204,2,1,2,1,6,2,88,3,3,1,3,2,2,0,1,2,1,0,0,2,5
2012,2730.69236,2,1,1,4,7,1,4,5,3,1,4,1,2,0,1,2,1,0,0,2,1
2012,2757.58277,1,2,2,2,6,2,3,0,3,2,4,2,2,0,1,2,1,0,0,2,3
2012,1777.10829,1,1,2,1,7,1,4,5,4,1,4,2,1,2,1,2,1,0,0,2,3
2012,2846.03735,1,3,2,3,3,1,5,2,4,2,4,1,2,0,1,2,1,1,1,2,3
2012,2891.65094,1,1,2,1,7,4,7,5,4,1,4,2,1,3,1,2,1,0,0,2,1
2012,2470.84731,2,1,1,4,4,1,5,1,4,2,4,1,2,0,1,2,1,1,1,2,1
2012,2201.36728,1,2,2,2,7,2,1,5,4,1,4,2,1,2,1,2,1,0,0,2,2
2012,2303.1098,1,2,1,4,3,1,7,2,4,2,4,1,1,2,1,2,1,0,0,2,3
2012,2180.97298,2,1,1,4,6,2,6,1,4,2,1,2,2,0,1,2,1,1,2,2,1
2012,3663.88364,1,1,2,1,6,2,7,2,4,2,4,1,1,1,1,2,1,0,0,2,3
2012,1456.25687,1,1,2,1,8,3,3,3,4,1,4,1,2,0,1,2,1,0,0,2,3
2012,3727.9849,1,1,2,1,2,1,7,1,4,2,4,1,1,2,1,2,1,0,0,2,1
2012,2089.28671,1,1,2,1,6,1,7,3,4,1,4,2,1,1,1,2,1,0,0,2,3
2012,2089.28671,1,1,2,1,6,1,7,3,4,1,4,2,1,1,1,2,1,0,0,2,2
